,riding,Ave_Age_All,Ave_Age_Male,Ave_Age_Female,bike_rate,pop,NoPostsecondary_all,NoPostsecondary_male,NoPostsecondary_female,french,HouseNeed,income_all,income_male,income_female,unemploy_all,unemploy_male,unemploy_female,Constituency,Province / Territory,First Name,Last Name,Political Affiliation
94,Pierrefonds--Dollard,42.1,41.1,43.1,0.5,109500,36.9,38.1,35.9,22.9,2.4,39200,42400,36400,9.8,10.1,9.4,Pierrefonds—Dollard,Quebec,Sameer,Zuberi,Liberal
332,Pitt Meadows--Maple Ridge,41.1,40.1,42.1,0.5,116915,47.3,48.2,46.4,1,8.1,44800,55600,38000,6.6,6.3,7,Pitt Meadows—Maple Ridge,British Columbia,Marc,Dalton,Conservative
303,Ponoka--Didsbury,40.8,40.1,41.5,0.4,114535,50.2,51.1,49.3,1,4.9,42000,53200,34800,11.1,11.4,10.7,Ponoka—Didsbury,Alberta,Blaine,Calkins,Conservative
95,Pontiac--Kitigan Zibi,40.3,40.1,40.4,0.7,111140,40.2,43.2,37.3,61.5,4,47200,49600,45200,7.9,8.4,7.4,Pontiac—Kitigan Zibi,Quebec,Sophie,Chatel,Liberal
333,Port Moody--Coquitlam,41.7,40.9,42.4,0.4,115260,37,37.2,36.8,0.9,8.4,44000,52000,38400,8.4,8.1,8.9,Port Moody—Coquitlam,British Columbia,Zoe,Royer,Liberal
245,Portage--Lisgar,37.8,36.9,38.7,1.3,94835,58.2,61.1,55.2,2.8,3.1,38800,46800,32000,5.3,4.6,6.2,Portage—Lisgar,Manitoba,Branden,Leslie,Conservative
96,Portneuf--Jacques-Cartier,42.2,41.8,42.7,0.6,106610,35.8,36.8,34.7,95.9,1.5,47600,54400,41200,5.1,5,5.3,Portneuf—Jacques-Cartier,Quebec,Joël,Godin,Conservative
205,Prescott--Russell--Cumberland,43,42.3,43.6,0.4,109125,46.2,48.1,44.4,55.6,2.7,48400,54000,43200,6.5,5.8,7.2,Prescott—Russell—Cumberland,Ontario,Giovanna,Mingarelli,Liberal
260,Prince Albert,40.3,39.3,41.2,0.4,88520,55.3,59.7,51.1,1.8,5.5,39600,42800,37200,9.5,10.3,8.6,Prince Albert,Saskatchewan,Randy,Hoback,Conservative
334,Prince George--Peace River--Northern Rockies,39.1,38.7,39.6,0.6,116970,54.7,54.4,55,1.1,4,45600,59200,36800,9.4,10.1,8.5,Prince George—Peace River—Northern Rockies,British Columbia,Bob,Zimmer,Conservative
246,Provencher,37,36.6,37.4,0.7,100320,57,59.4,54.5,8.2,4.7,40000,48800,32400,6.4,5.7,7.2,Provencher,Manitoba,Ted,Falk,Conservative
97,Québec Centre,45.9,44.1,47.7,3.1,103980,30.4,30.3,30.5,88.6,2,41200,44000,38800,8.8,9,8.6,Québec Centre,Quebec,Jean-Yves,Duclos,Liberal
304,Red Deer,39.6,38.7,40.5,0.6,114975,48.4,51.2,45.7,1.1,4,43200,50800,37600,11.9,12.3,11.4,Red Deer,Alberta,Burton,Bailey,Conservative
261,Regina--Lewvan,38.6,37.5,39.6,0.6,86900,40.8,42.5,39.3,1,2.8,50400,56000,46000,8.8,9.3,8.2,Regina—Lewvan,Saskatchewan,Warren,Steinley,Conservative
262,Regina--Qu'Appelle,39.2,38.5,39.9,0.5,89275,54.7,57.1,52.3,0.6,6.5,42000,46000,39200,9.9,10.3,9.5,Regina—Qu'Appelle,Saskatchewan,Andrew,Scheer,Conservative
263,Regina--Wascana,39.9,38.6,41.1,0.6,89065,42.8,44.5,41.1,1.2,4.1,45600,50400,42000,10,10.3,9.6,Regina—Wascana,Saskatchewan,Michael,Kram,Conservative
98,Repentigny,42.6,41.6,43.7,0.7,111525,41.4,41.4,41.4,87.6,2,44800,50800,39600,5.9,5.9,6,Repentigny,Quebec,Patrick,Bonin,Bloc Québécois
99,Richmond--Arthabaska,44.7,43.7,45.8,0.8,110650,45.4,46.5,44.3,94.4,0.7,38000,42000,34000,4.8,4.6,4.9,Richmond Centre—Marpole,British Columbia,Chak,Au,Conservative
